dataset_name,metric,best_method
cbf,NLL,ProximityForest
cbf,BALACC,HIVE-COTE v1.0
cbf,Prec,cBOSS
cbf,AUROC,TS-CHIEF
cbf,ACC,TS-CHIEF
cbf,Recall,TS-CHIEF
cbf,F1,TS-CHIEF
cbf,MCC,TS-CHIEF
facesucr,TrainTime,ROCKET
facesucr,NLL,TSF
facesucr,BALACC,ResNet
facesucr,Prec,InceptionTime
facesucr,AUROC,TS-CHIEF
facesucr,ACC,STC
facesucr,Recall,WEASEL
facesucr,F1,ResNet
facesucr,MCC,TS-CHIEF
insectwingbeatsound,TrainTime,InceptionTime
insectwingbeatsound,NLL,ROCKET
insectwingbeatsound,BALACC,TSF
insectwingbeatsound,Prec,ProximityForest
insectwingbeatsound,AUROC,InceptionTime
insectwingbeatsound,ACC,Catch22
insectwingbeatsound,Recall,ResNet
insectwingbeatsound,F1,Catch22
insectwingbeatsound,MCC,Catch22
rock,TrainTime,WEASEL
rock,NLL,InceptionTime
rock,BALACC,WEASEL
rock,Prec,ResNet
rock,AUROC,ProximityForest
rock,ACC,WEASEL
rock,Recall,ResNet
rock,F1,ResNet
rock,MCC,ResNet
symbols,TrainTime,ResNet
symbols,NLL,InceptionTime
symbols,BALACC,RISE
symbols,Prec,ProximityForest
symbols,AUROC,TS-CHIEF
symbols,ACC,STC
symbols,Recall,HIVE-COTE v1.0
symbols,F1,S-BOSS
symbols,MCC,ResNet
chlorineconcentration,TrainTime,HIVE-COTE v1.0
chlorineconcentration,NLL,InceptionTime
chlorineconcentration,BALACC,RISE
chlorineconcentration,Prec,RISE
chlorineconcentration,AUROC,InceptionTime
chlorineconcentration,ACC,WEASEL
chlorineconcentration,Recall,cBOSS
chlorineconcentration,F1,RISE
chlorineconcentration,MCC,WEASEL
gunpoint,TrainTime,TS-CHIEF
gunpoint,NLL,HIVE-COTE v1.0
gunpoint,BALACC,ROCKET
gunpoint,Prec,InceptionTime
gunpoint,AUROC,TS-CHIEF
gunpoint,ACC,InceptionTime
gunpoint,Recall,STC
gunpoint,F1,ROCKET
gunpoint,MCC,TSF
mixedshapesregulartrain,TrainTime,S-BOSS
mixedshapesregulartrain,NLL,HIVE-COTE v1.0
mixedshapesregulartrain,BALACC,RISE
mixedshapesregulartrain,Prec,RISE
mixedshapesregulartrain,AUROC,RISE
mixedshapesregulartrain,ACC,RISE
mixedshapesregulartrain,Recall,BOSS
mixedshapesregulartrain,F1,RISE
mixedshapesregulartrain,MCC,cBOSS
twoleadecg,TrainTime,S-BOSS
twoleadecg,NLL,RISE
twoleadecg,BALACC,Catch22
twoleadecg,Prec,Catch22
twoleadecg,AUROC,TS-CHIEF
twoleadecg,ACC,Catch22
twoleadecg,Recall,Catch22
twoleadecg,F1,Catch22
twoleadecg,MCC,TSF
swedishleaf,TrainTime,WEASEL
swedishleaf,NLL,InceptionTime
swedishleaf,BALACC,HIVE-COTE v1.0
swedishleaf,Prec,TSF
swedishleaf,AUROC,TS-CHIEF
swedishleaf,ACC,STC
swedishleaf,Recall,HIVE-COTE v1.0
swedishleaf,F1,HIVE-COTE v1.0
swedishleaf,MCC,HIVE-COTE v1.0
sonyaiborobotsurface2,TrainTime,TS-CHIEF
sonyaiborobotsurface2,NLL,ProximityForest
sonyaiborobotsurface2,BALACC,ResNet
sonyaiborobotsurface2,Prec,InceptionTime
sonyaiborobotsurface2,AUROC,ROCKET
sonyaiborobotsurface2,ACC,STC
sonyaiborobotsurface2,Recall,InceptionTime
sonyaiborobotsurface2,F1,STC
sonyaiborobotsurface2,MCC,Catch22
pigairwaypressure,TrainTime,ROCKET
pigairwaypressure,NLL,InceptionTime
